condition,env,seed,event,phase,step,loss
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,0.0,1.860742330551148
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,200.0,1.1684467792510986
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,400.0,1.1347177028656006
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,600.0,1.1284842491149902
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,800.0,1.0964677333831787
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,1000.0,1.0960655212402344
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,1200.0,1.0434260368347168
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,1400.0,1.0158599615097046
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,1600.0,1.0117650032043457
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,1800.0,1.0269747972488403
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,2000.0,1.0120654106140137
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,2200.0,1.0094189643859863
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,2400.0,1.0187350511550903
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,2600.0,0.9975726008415222
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,2800.0,1.031295895576477
pu_retrain,antmaze-medium-diverse-v2,0,,reachability,2999.0,1.0124430656433103
pu_retrain,antmaze-medium-diverse-v2,0,saved,reachability,,
pu_retrain,antmaze-medium-play-v2,0,loaded,tdr,,
pu_retrain,antmaze-medium-play-v2,0,loaded,policy,,
pu_retrain,antmaze-medium-play-v2,0,train_start,reachability,,
pu_retrain,antmaze-medium-play-v2,0,,reachability,0.0,1.864171028137207
pu_retrain,antmaze-medium-play-v2,0,,reachability,200.0,1.1658577919006348
pu_retrain,antmaze-medium-play-v2,0,,reachability,400.0,1.140796780586243
pu_retrain,antmaze-medium-play-v2,0,,reachability,600.0,1.1208038330078125
pu_retrain,antmaze-medium-play-v2,0,,reachability,800.0,1.0999839305877686
pu_retrain,antmaze-medium-play-v2,0,,reachability,1000.0,1.101927638053894
pu_retrain,antmaze-medium-play-v2,0,,reachability,1200.0,1.0468777418136597
pu_retrain,antmaze-medium-play-v2,0,,reachability,1400.0,1.0157313346862793
pu_retrain,antmaze-medium-play-v2,0,,reachability,1600.0,1.0097126960754397
pu_retrain,antmaze-medium-play-v2,0,,reachability,1800.0,1.0192055702209473
pu_retrain,antmaze-medium-play-v2,0,,reachability,2000.0,1.0118534564971924
pu_retrain,antmaze-medium-play-v2,0,,reachability,2200.0,0.9983519911766052
pu_retrain,antmaze-medium-play-v2,0,,reachability,2400.0,0.998108983039856
pu_retrain,antmaze-medium-play-v2,0,,reachability,2600.0,1.0019842386245728
pu_retrain,antmaze-medium-play-v2,0,,reachability,2800.0,0.9886757731437684
pu_retrain,antmaze-medium-play-v2,0,,reachability,2999.0,0.9804545640945436
pu_retrain,antmaze-medium-play-v2,0,saved,reachability,,
pu_retrain,antmaze-large-play-v2,0,loaded,tdr,,
pu_retrain,antmaze-large-play-v2,0,loaded,policy,,
pu_retrain,antmaze-large-play-v2,0,train_start,reachability,,
pu_retrain,antmaze-large-play-v2,0,,reachability,0.0,1.8902792930603027
pu_retrain,antmaze-large-play-v2,0,,reachability,200.0,1.0492624044418335
pu_retrain,antmaze-large-play-v2,0,,reachability,400.0,1.02843177318573
pu_retrain,antmaze-large-play-v2,0,,reachability,600.0,1.025577425956726
pu_retrain,antmaze-large-play-v2,0,,reachability,800.0,1.033679485321045
pu_retrain,antmaze-large-play-v2,0,,reachability,1000.0,0.9724478721618652
pu_retrain,antmaze-large-play-v2,0,,reachability,1200.0,0.9518595337867736
pu_retrain,antmaze-large-play-v2,0,,reachability,1400.0,0.9957690238952636
pu_retrain,antmaze-large-play-v2,0,,reachability,1600.0,0.9459076523780824
pu_retrain,antmaze-large-play-v2,0,,reachability,1800.0,0.9628257155418396
pu_retrain,antmaze-large-play-v2,0,,reachability,2000.0,0.8896443247795105
pu_retrain,antmaze-large-play-v2,0,,reachability,2200.0,0.910071611404419
pu_retrain,antmaze-large-play-v2,0,,reachability,2400.0,0.952082097530365
pu_retrain,antmaze-large-play-v2,0,,reachability,2600.0,0.9405720829963684
pu_retrain,antmaze-large-play-v2,0,,reachability,2800.0,0.90817391872406
pu_retrain,antmaze-large-play-v2,0,,reachability,2999.0,0.8983864188194275
pu_retrain,antmaze-large-play-v2,0,saved,reachability,,
pu_retrain,antmaze-large-diverse-v2,0,loaded,tdr,,
pu_retrain,antmaze-large-diverse-v2,0,loaded,policy,,
pu_retrain,antmaze-large-diverse-v2,0,train_start,reachability,,
pu_retrain,antmaze-large-diverse-v2,0,,reachability,0.0,1.8950021266937256
pu_retrain,antmaze-large-diverse-v2,0,,reachability,200.0,1.0794533491134644
pu_retrain,antmaze-large-diverse-v2,0,,reachability,400.0,1.0708876848220823
pu_retrain,antmaze-large-diverse-v2,0,,reachability,600.0,1.04234516620636
pu_retrain,antmaze-large-diverse-v2,0,,reachability,800.0,1.0139449834823608
pu_retrain,antmaze-large-diverse-v2,0,,reachability,1000.0,0.991580605506897
pu_retrain,antmaze-large-diverse-v2,0,,reachability,1200.0,0.9888629913330078
pu_retrain,antmaze-large-diverse-v2,0,,reachability,1400.0,0.977591633796692
pu_retrain,antmaze-large-diverse-v2,0,,reachability,1600.0,0.946245551109314
pu_retrain,antmaze-large-diverse-v2,0,,reachability,1800.0,0.9613335132598876
pu_retrain,antmaze-large-diverse-v2,0,,reachability,2000.0,0.9345898032188416
pu_retrain,antmaze-large-diverse-v2,0,,reachability,2200.0,0.9199491739273072
pu_retrain,antmaze-large-diverse-v2,0,,reachability,2400.0,0.933411717414856
pu_retrain,antmaze-large-diverse-v2,0,,reachability,2600.0,0.9005983471870422
pu_retrain,antmaze-large-diverse-v2,0,,reachability,2800.0,0.9397903084754944
pu_retrain,antmaze-large-diverse-v2,0,,reachability,2999.0,0.9400616884231568
pu_retrain,antmaze-large-diverse-v2,0,saved,reachability,,
