u,v,edge_weight,edge_metadata_keys,te_score,tdr_distance,is_task_goal_edge,u_dataset_idx,v_dataset_idx,same_trajectory,dt,cross_trajectory,edge_category,stage,evidence_class,env_name,seed,task_id,episode_id,success,path_usage_count,path_usage,failure_association
177,469,7.086024,weight,,7.086024,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
181,418,4.0562444,weight,,4.0562444,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
183,468,6.9670596,weight,,6.9670596,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,3,success_path,0
211,269,6.594774,weight,,6.594774,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
219,41,7.288898,weight,,7.288898,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
260,333,7.3870273,weight,,7.3870273,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
268,317,3.6739664,weight,,3.6739664,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
269,2,4.637305,weight,,4.637305,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,27,success_path,0
285,129,5.204156,weight,,5.204156,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,12,success_path,0
300,323,4.9506893,weight,,4.9506893,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,29,success_path,0
316,574,6.554969,weight,,6.554969,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
317,0,7.88074,weight,,7.88074,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
320,269,6.327127,weight,,6.327127,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,21,success_path,0
323,92,5.769105,weight,,5.769105,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,29,success_path,0
329,539,6.3043723,weight,,6.3043723,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
333,468,7.822981,weight,,7.822981,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
334,574,5.7964106,weight,,5.7964106,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
335,873,7.289577,weight,,7.289577,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
367,285,7.3957367,weight,,7.3957367,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,10,success_path,0
380,129,4.6679044,weight,,4.6679044,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
418,169,4.691962,weight,,4.691962,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
425,469,6.431598,weight,,6.431598,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
468,469,6.54329,weight,,6.54329,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,6,success_path,0
469,922,6.7173405,weight,,6.7173405,1,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,10,success_path,0
485,367,7.8240485,weight,,7.8240485,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
496,367,6.8550644,weight,,6.8550644,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
510,316,4.579757,weight,,4.579757,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
513,688,7.3175993,weight,,7.3175993,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
524,539,5.9249783,weight,,5.9249783,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,31,success_path,0
539,922,3.4495244,weight,,3.4495244,1,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,32,success_path,0
560,95,6.982448,weight,,6.982448,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
574,69,4.5283084,weight,,4.5283084,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,4,success_path,0
661,367,4.5992827,weight,,4.5992827,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
688,269,7.0948415,weight,,7.0948415,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
704,425,5.1813545,weight,,5.1813545,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
873,45,4.896152,weight,,4.896152,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
2,3,5.960515,weight,,5.960515,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,23,success_path,0
3,33,4.471981,weight,,4.471981,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,24,success_path,0
23,320,5.546981,weight,,5.546981,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,15,success_path,0
24,269,3.617046,weight,,3.617046,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,1,success_path,0
33,300,4.2789183,weight,,4.2789183,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,25,success_path,0
52,53,3.6065094,weight,,3.6065094,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,2,success_path,0
53,169,5.59022,weight,,5.59022,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,11,success_path,0
69,367,3.7097073,weight,,3.7097073,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,3,success_path,0
71,53,7.579875,weight,,7.579875,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,8,success_path,0
92,524,5.415204,weight,,5.415204,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,27,success_path,0
95,177,4.172313,weight,,4.172313,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,1,success_path,0
129,71,6.4601045,weight,,6.4601045,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,7,success_path,0
169,23,3.9344213,weight,,3.9344213,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,14,success_path,0
177,469,7.086024,weight,,7.086024,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,1,success_path,0
181,418,4.0562444,weight,,4.0562444,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,2,success_path,0
269,2,4.637305,weight,,4.637305,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,22,success_path,0
285,129,5.204156,weight,,5.204156,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,6,success_path,0
300,323,4.9506893,weight,,4.9506893,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,25,success_path,0
316,574,6.554969,weight,,6.554969,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,1,success_path,0
320,269,6.327127,weight,,6.327127,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,17,success_path,0
323,92,5.769105,weight,,5.769105,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,26,success_path,0
329,539,6.3043723,weight,,6.3043723,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,1,success_path,0
367,285,7.3957367,weight,,7.3957367,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,5,success_path,0
418,169,4.691962,weight,,4.691962,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,2,success_path,0
469,922,6.7173405,weight,,6.7173405,1,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,1,success_path,0
524,539,5.9249783,weight,,5.9249783,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,28,success_path,0
539,922,3.4495244,weight,,3.4495244,1,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,30,success_path,0
560,95,6.982448,weight,,6.982448,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,1,success_path,0
574,69,4.5283084,weight,,4.5283084,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,2,success_path,0
661,367,4.5992827,weight,,4.5992827,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,1,success_path,0
688,269,7.0948415,weight,,7.0948415,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,1,1,3,success_path,0
