stage,evidence_class,dataset_name,dataset_path,dataset_size_bytes,dataset_family,artifact_status
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,halfcheetah_random-v2,/mnt/project/offlinerl_datasets/d4rl/halfcheetah_random-v2.hdf5,237338037,halfcheetah,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,hopper-medium-replay-v2,/mnt/project/offlinerl_datasets/d4rl/hopper-medium-replay-v2.hdf5,75854457,hopper,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,hopper-medium-v2,/mnt/project/offlinerl_datasets/d4rl/hopper-medium-v2.hdf5,152756557,hopper,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,hopper-random-v2,/mnt/project/offlinerl_datasets/d4rl/hopper-random-v2.hdf5,152525345,hopper,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,hopper_medium-v2,/mnt/project/offlinerl_datasets/d4rl/hopper_medium-v2.hdf5,152756557,hopper,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,hopper_medium_replay-v2,/mnt/project/offlinerl_datasets/d4rl/hopper_medium_replay-v2.hdf5,75854457,hopper,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,hopper_random-v2,/mnt/project/offlinerl_datasets/d4rl/hopper_random-v2.hdf5,152525345,hopper,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,kitchen_microwave_kettle_light_slider-v0,/mnt/project/offlinerl_datasets/d4rl/kitchen_microwave_kettle_light_slider-v0.hdf5,19558459,kitchen,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,walker2d-medium-replay-v2,/mnt/project/offlinerl_datasets/d4rl/walker2d-medium-replay-v2.hdf5,86323963,walker2d,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,walker2d-medium-v2,/mnt/project/offlinerl_datasets/d4rl/walker2d-medium-v2.hdf5,232254996,walker2d,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,walker2d-random-v2,/mnt/project/offlinerl_datasets/d4rl/walker2d-random-v2.hdf5,216109364,walker2d,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,walker2d_medium-v2,/mnt/project/offlinerl_datasets/d4rl/walker2d_medium-v2.hdf5,232254996,walker2d,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,walker2d_medium_replay-v2,/mnt/project/offlinerl_datasets/d4rl/walker2d_medium_replay-v2.hdf5,86323963,walker2d,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,walker2d_random-v2,/mnt/project/offlinerl_datasets/d4rl/walker2d_random-v2.hdf5,216109364,walker2d,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
