segment_index,edge_id,global_i,global_j,src,dst,num_segments,num_unique_starts,num_unique_episodes,median_h,edge_bottleneck_score
555851,575,49250,49252,390,389,5780,1058,60,7.0,0.7425888616027709
383488,417,138636,138645,261,260,1892,528,38,7.0,0.524234110076884
512734,530,162756,162760,353,352,4031,742,47,7.0,0.6701754396575299
75562,57,175401,175411,13,12,5022,865,46,7.0,0.4343780295618495
58829,42,117469,117475,10,29,253,73,16,8.0,0.6535390451973578
423122,456,110408,110417,303,304,2330,472,36,7.0,0.5022402655473627
235976,246,11514,11522,207,208,2651,480,51,7.0,1.3972225133438927
434903,468,59469,59472,306,307,3461,702,28,7.0,0.4805973720292605
361561,397,100984,100990,236,235,4148,791,77,7.0,0.7237432083932548
316090,351,89577,89583,229,209,1862,465,44,6.0,1.2040851850136032
435728,468,123180,123190,306,307,3461,702,28,7.0,0.4805973720292605
339765,376,89255,89256,232,233,3684,906,62,6.0,1.1619791581108354
182851,189,171368,171375,166,167,1340,319,38,6.0,1.3357884073864643
86492,85,17965,17968,31,32,758,144,15,7.0,0.7038170681089723
235859,245,199563,199564,207,206,1424,310,48,6.0,1.3972225133438927
135849,143,5313,5322,87,86,3397,685,43,7.0,1.1216278354671452
231098,240,43512,43515,206,226,2044,488,38,6.0,1.067174264901552
555383,575,17856,17862,390,389,5780,1058,60,7.0,0.7425888616027709
458388,479,109123,109133,313,312,6124,1172,62,7.0,1.0310349539355537
361774,397,116366,116374,236,235,4148,791,77,7.0,0.7237432083932548
7688,4,84631,84633,4,3,4567,895,42,7.0,0.5708371775563242
214505,214,155272,155277,203,204,1689,337,48,7.0,0.7820937747631929
234905,245,43602,43608,207,206,1424,310,48,6.0,1.3972225133438927
99809,105,92237,92246,46,47,5614,1117,54,7.0,1.1664980998843535
363506,397,191980,191990,236,235,4148,791,77,7.0,0.7237432083932548
195909,199,171770,171774,178,198,3781,724,66,7.0,0.6242252993529385
282326,307,160644,160649,217,218,974,187,24,7.0,0.8816696613244259
423947,456,175230,175240,303,304,2330,472,36,7.0,0.5022402655473627
248902,261,168205,168215,209,229,2724,563,46,6.0,1.2040851850136032
166319,174,26137,26146,126,146,2758,621,59,7.0,1.2918859947622392
97390,105,23848,23850,46,47,5614,1117,54,7.0,1.1664980998843535
270979,293,170718,170728,215,216,1452,353,47,7.0,0.6704601283040799
267724,286,67963,67971,214,215,1395,244,31,7.0,0.6704601283040799
432143,467,102115,102125,306,305,1673,333,42,7.0,0.4805973720292605
53112,39,86986,86991,10,9,7588,1341,80,7.0,0.8979178206761399
320742,354,144887,144891,229,230,3135,730,39,7.0,0.6928147497270761
432746,467,165322,165323,306,305,1673,333,42,7.0,0.4805973720292605
47694,34,150486,150492,9,10,6723,1315,66,7.0,0.8979178206761399
33074,21,192427,192433,7,8,2059,347,42,7.0,0.5426091782944411
170700,177,121982,121984,127,126,3197,604,48,7.0,1.181694780615308
338363,376,22130,22140,232,233,3684,906,62,6.0,1.1619791581108354
558066,575,126094,126102,390,389,5780,1058,60,7.0,0.7425888616027709
150343,157,174327,174332,107,127,1206,252,31,7.0,1.181694780615308
415,2,14520,14527,3,4,5792,1015,65,7.0,0.5708371775563242
264293,279,96578,96583,213,214,1101,196,24,7.0,0.4101470785549331
468110,487,191239,191242,316,315,3884,690,66,7.0,0.6423751221008027
435534,468,114465,114475,306,307,3461,702,28,7.0,0.4805973720292605
192535,199,9294,9302,178,198,3781,724,66,7.0,0.6242252993529385
198792,202,67672,67682,186,167,927,263,28,8.0,1.3357884073864643
310482,345,109304,109308,227,206,1166,345,37,8.0,1.067174264901552
5608,2,183750,183758,3,4,5792,1015,65,7.0,0.5708371775563242
116087,120,24802,24804,53,33,2430,508,57,7.0,0.6145816993069612
536598,561,97905,97908,387,367,802,171,26,7.0,0.4438264341470948
24124,15,181665,181675,6,7,6148,1131,59,7.0,0.5426091782944411
381714,416,161267,161276,261,241,2801,699,44,7.0,1.1119894608452026
235757,245,176928,176935,207,206,1424,310,48,6.0,1.3972225133438927
298227,332,126532,126533,223,224,2604,557,36,7.0,0.6191565157353949
400282,432,104452,104459,281,300,485,110,21,7.0,0.934839852702454
537704,562,52247,52257,387,386,3556,691,39,7.0,0.4438264341470948
364282,400,28692,28701,238,218,2034,446,29,7.0,0.8816696613244259
253355,268,63658,63667,210,230,1174,278,34,6.0,0.6928147497270761
40876,33,122256,122265,9,8,2461,466,59,7.0,0.8979178206761399
292780,323,141186,141194,222,221,980,159,24,7.0,0.9050989791035348
302841,337,20441,20445,224,223,2188,512,43,7.0,0.6191565157353949
277442,300,47553,47557,216,217,1104,215,22,7.0,0.5697363003069251
474993,496,170512,170522,321,301,922,195,22,7.0,0.752293892421816
91004,91,181576,181579,32,31,1641,346,40,7.0,0.7038170681089723
362620,397,151759,151766,236,235,4148,791,77,7.0,0.7237432083932548
399176,431,107582,107591,281,261,1754,324,37,7.0,0.934839852702454
550213,572,88633,88640,389,390,7154,1413,89,7.0,0.7425888616027709
546531,571,43625,43630,389,388,1306,215,26,7.0,0.7088659022355741
333424,371,115724,115727,232,212,3225,743,49,7.0,1.0962254186468878
372775,410,44737,44745,252,272,4224,748,64,7.0,1.1940024538182468
191115,196,109738,109741,167,187,1931,464,42,7.0,1.3357884073864643
152553,160,114261,114268,122,121,818,145,20,7.0,0.6495529827524277
534731,559,126158,126168,386,387,3786,725,48,7.0,0.4438264341470948
31300,21,16185,16192,7,8,2059,347,42,7.0,0.5426091782944411
559868,575,180201,180204,390,389,5780,1058,60,7.0,0.7425888616027709
401520,433,157331,157339,281,301,1237,248,29,7.0,0.934839852702454
248288,261,142032,142041,209,229,2724,563,46,6.0,1.2040851850136032
421348,453,100144,100151,301,321,1142,205,25,7.0,0.752293892421816
128124,133,36694,36699,67,87,1336,265,36,7.0,0.9820359200257924
176458,182,89883,89893,146,166,1871,398,42,7.0,1.2918859947622392
27623,20,72310,72320,7,6,5706,1096,56,7.0,0.5426091782944411
98387,105,60476,60485,46,47,5614,1117,54,7.0,1.1664980998843535
459658,479,154665,154675,313,312,6124,1172,62,7.0,1.0310349539355537
220119,221,154226,154231,204,205,1689,301,34,7.0,0.7820937747631929
145880,150,168856,168863,106,126,1286,253,33,7.0,0.8607825119832312
458381,479,109121,109128,313,312,6124,1172,62,7.0,1.0310349539355537
288553,316,115346,115356,218,238,3208,669,39,7.0,0.8816696613244259
444379,474,109060,109070,312,293,611,198,24,8.0,1.0306249533555365
191644,196,167361,167364,167,187,1931,464,42,7.0,1.3357884073864643
92678,94,149024,149034,32,53,306,85,17,8.0,0.6145816993069612
216912,219,67904,67911,203,224,698,180,27,8.0,0.6191565157353949
519013,544,39425,39426,372,352,3304,604,64,7.0,0.8635553308620566
541859,563,161903,161913,387,388,1752,357,43,7.0,0.4438264341470948
24006,15,176278,176280,6,7,6148,1131,59,7.0,0.5426091782944411
30707,20,166978,166980,7,6,5706,1096,56,7.0,0.5426091782944411
183231,190,20377,20384,166,186,2815,622,54,7.0,1.2843709165327069
162239,167,197773,197777,124,123,2933,579,43,7.0,0.6901232461389545
176928,182,144766,144776,146,166,1871,398,42,7.0,1.2918859947622392
318821,354,15839,15849,229,230,3135,730,39,7.0,0.6928147497270761
45143,34,81926,81934,9,10,6723,1315,66,7.0,0.8979178206761399
60841,44,157624,157629,11,10,2237,406,56,7.0,0.6435638621308869
433076,468,3532,3538,306,307,3461,702,28,7.0,0.4805973720292605
502316,525,139334,139343,352,332,3450,777,75,7.0,1.119329782732733
560796,577,24987,24993,392,372,1484,276,49,7.0,0.8635553308620566
562784,579,13643,13646,392,393,4751,1009,35,7.0,0.42516877339884
266626,283,101037,101045,213,233,781,194,39,6.0,1.1619791581108354
280755,306,68037,68044,217,216,1085,243,26,7.0,0.5697363003069251
291874,321,10725,10734,222,203,175,50,12,8.0,0.9050989791035348
312598,346,171331,171334,227,207,1789,455,46,6.0,1.3972225133438927
217629,220,20482,20484,204,203,1245,308,35,6.0,0.7820937747631929
336997,375,68184,68191,232,231,1598,285,38,7.0,1.1411627055128797
340844,376,139667,139673,232,233,3684,906,62,6.0,1.1619791581108354
175345,181,131592,131602,146,127,905,230,26,8.0,1.2918859947622392
499954,523,186347,186351,347,367,715,142,17,7.0,0.4416835907527695
564004,579,69667,69671,392,393,4751,1009,35,7.0,0.42516877339884
99820,105,92239,92242,46,47,5614,1117,54,7.0,1.1664980998843535
375528,410,185617,185625,252,272,4224,748,64,7.0,1.1940024538182468
141279,145,167285,167291,87,107,2191,480,55,7.0,0.9820359200257924
317504,352,54659,54663,229,210,1418,448,40,8.0,0.665031004775942
501389,525,97105,97108,352,332,3450,777,75,7.0,1.119329782732733
122458,126,112023,112033,54,53,2150,349,51,7.0,0.6145816993069612
16959,14,2095,2103,6,5,1302,222,32,7.0,0.4942256235210543
491244,516,20596,20602,341,340,2335,564,34,7.0,0.4920301440106474
119259,121,135593,135599,53,52,1991,412,37,7.0,0.6145816993069612
93781,97,80296,80306,33,13,766,176,20,7.0,0.586989255123132
34482,26,8530,8537,8,7,1911,382,50,7.0,0.5426091782944411
282337,307,160645,160651,217,218,974,187,24,7.0,0.8816696613244259
401595,433,183457,183463,281,301,1237,248,29,7.0,0.934839852702454
9795,4,157672,157682,4,3,4567,895,42,7.0,0.5708371775563242
11450,5,78872,78876,4,5,2574,462,51,7.0,0.5708371775563242
261632,277,154347,154357,212,233,1129,343,44,8.0,1.1619791581108354
449711,475,154709,154718,312,313,6951,1469,79,7.0,1.0310349539355537
232310,240,175851,175857,206,226,2044,488,38,6.0,1.067174264901552
354325,390,96615,96624,235,216,1131,337,39,8.0,0.7237432083932548
312487,346,151483,151493,227,207,1789,455,46,6.0,1.3972225133438927
482218,506,123255,123265,332,312,2453,501,54,7.0,1.119329782732733
514103,532,41334,41343,358,378,330,60,6,7.0,1.2567413729599697
99559,105,89795,89803,46,47,5614,1117,54,7.0,1.1664980998843535
351949,389,83577,83586,235,215,3043,744,48,7.0,0.7237432083932548
482559,506,164457,164466,332,312,2453,501,54,7.0,1.119329782732733
205968,208,68266,68274,187,186,1285,340,47,6.0,1.2843709165327069
324511,358,142019,142026,230,210,1602,410,41,6.0,0.6928147497270761
538347,562,87802,87807,387,386,3556,691,39,7.0,0.4438264341470948
525726,550,152583,152590,381,361,1326,263,39,6.0,0.3811421748763997
476910,498,150844,150854,321,341,1461,285,33,7.0,0.54501111574303
326514,359,93142,93152,230,229,3372,705,51,7.0,0.6928147497270761
148219,154,172226,172233,107,87,1384,259,32,6.0,0.9820359200257924
195642,199,161068,161077,178,198,3781,724,66,7.0,0.6242252993529385
538870,562,116903,116906,387,386,3556,691,39,7.0,0.4438264341470948
23814,15,168584,168594,6,7,6148,1131,59,7.0,0.5426091782944411
179895,186,178303,178309,158,178,2010,344,46,7.0,0.5668323279398094
222059,225,45164,45174,204,224,1532,316,32,6.0,0.7820937747631929
28087,20,79124,79131,7,6,5706,1096,56,7.0,0.5426091782944411
515278,534,98939,98947,361,341,1406,257,31,7.0,0.4920301440106474
129333,138,2565,2574,86,87,3356,735,46,7.0,1.1216278354671452
498801,522,178016,178019,347,346,1760,397,24,7.0,0.4416835907527695
184306,190,101766,101774,166,186,2815,622,54,7.0,1.2843709165327069
44253,34,62615,62625,9,10,6723,1315,66,7.0,0.8979178206761399
542606,567,3052,3054,388,387,1172,210,23,7.0,0.4438264341470948
441945,473,62834,62838,312,292,2905,704,68,7.0,1.1119155647980608
246828,261,29632,29634,209,229,2724,563,46,6.0,1.2040851850136032
137290,143,88832,88839,87,86,3397,685,43,7.0,1.1216278354671452
193576,199,46118,46123,178,198,3781,724,66,7.0,0.6242252993529385
228198,237,40502,40510,206,207,2772,530,75,7.0,1.3972225133438927
376672,413,37305,37315,260,241,718,186,24,8.0,1.1119894608452026
142224,147,47172,47175,106,86,1727,337,43,7.0,1.1216278354671452
177975,183,119077,119084,146,167,451,123,21,8.0,1.3357884073864643
387718,420,177143,177146,272,252,3139,673,55,7.0,1.1940024538182468
453499,477,176241,176247,313,292,1064,301,40,7.0,1.1119155647980608
178562,186,33615,33625,158,178,2010,344,46,7.0,0.5668323279398094
221044,224,98736,98745,204,223,1215,316,32,8.0,0.7820937747631929
375534,410,185638,185642,252,272,4224,748,64,7.0,1.1940024538182468
224971,228,138743,138745,205,206,1773,320,37,7.0,1.067174264901552
316526,351,117864,117872,229,209,1862,465,44,6.0,1.2040851850136032
534813,559,126191,126201,386,387,3786,725,48,7.0,0.4438264341470948
186712,191,171424,171429,166,187,1046,282,32,8.0,1.141922868998979
367520,404,165141,165150,241,260,703,187,30,8.0,1.1119894608452026
178802,186,58325,58330,158,178,2010,344,46,7.0,0.5668323279398094
543043,567,87758,87768,388,387,1172,210,23,7.0,0.4438264341470948
386006,420,77481,77488,272,252,3139,673,55,7.0,1.1940024538182468
257494,276,69301,69310,212,232,4549,902,60,7.0,1.0962254186468878
36831,27,44919,44928,8,9,2161,394,43,7.0,0.8979178206761399
146420,153,45334,45341,107,86,661,159,24,8.0,1.1216278354671452
203059,206,82278,82286,187,166,913,243,30,8.0,1.141922868998979
227258,236,27168,27175,206,205,652,146,18,7.0,1.067174264901552
59818,44,62596,62600,11,10,2237,406,56,7.0,0.6435638621308869
278994,302,125379,125389,216,235,1104,261,45,8.0,0.7237432083932548
469899,491,108999,109008,317,316,2220,413,48,7.0,0.5899983588744228
530153,555,63346,63353,384,383,3150,611,39,7.0,0.4182303580580847
433981,468,23233,23235,306,307,3461,702,28,7.0,0.4805973720292605
191852,198,4913,4917,178,158,669,128,14,7.0,0.5668323279398094
42994,34,24293,24298,9,10,6723,1315,66,7.0,0.8979178206761399
526448,554,39835,39842,383,384,2855,525,32,7.0,0.4182303580580847
81089,70,17900,17903,27,7,626,152,24,6.0,1.2483050882681392
255292,272,122155,122160,212,213,1444,330,41,7.0,0.5858748306458231
167697,174,131582,131586,126,146,2758,621,59,7.0,1.2918859947622392
90037,91,80046,80054,32,31,1641,346,40,7.0,0.7038170681089723
77655,62,168541,168549,26,6,884,196,27,6.0,0.6157022221184753
308645,343,93257,93259,226,227,2314,483,33,6.0,0.4615167349457846
157199,165,66407,66413,123,124,3504,645,57,7.0,0.6901232461389545
442376,473,95298,95308,312,292,2905,704,68,7.0,1.1119155647980608
355704,392,53922,53923,235,236,2500,583,40,7.0,0.7237432083932548
217348,219,168999,169009,203,224,698,180,27,8.0,0.6191565157353949
18359,15,2988,2997,6,7,6148,1131,59,7.0,0.5426091782944411
563094,579,36358,36368,392,393,4751,1009,35,7.0,0.42516877339884
515669,534,147834,147838,361,341,1406,257,31,7.0,0.4920301440106474
393812,425,40942,40948,273,252,629,202,26,8.0,1.1940024538182468
151697,158,147616,147619,121,122,1754,316,37,7.0,0.6495529827524277
515014,534,70593,70603,361,341,1406,257,31,7.0,0.4920301440106474
373315,410,53115,53116,252,272,4224,748,64,7.0,1.1940024538182468
15566,10,134336,134342,5,6,1744,340,37,7.0,0.4942256235210543
170436,177,108685,108690,127,126,3197,604,48,7.0,1.181694780615308
162574,170,38029,38030,126,106,1634,316,34,7.0,0.8607825119832312
417449,450,107567,107577,301,281,2247,527,56,7.0,0.934839852702454
71541,57,12856,12858,13,12,5022,865,46,7.0,0.4343780295618495
314661,348,151457,151465,227,226,2383,516,41,7.0,0.4615167349457846
356584,392,116309,116318,235,236,2500,583,40,7.0,0.7237432083932548
285859,314,159017,159025,218,217,2100,487,54,7.0,0.8816696613244259
162988,170,87325,87327,126,106,1634,316,34,7.0,0.8607825119832312
212619,213,168053,168061,198,218,3262,622,68,7.0,0.8816696613244259
481911,506,118488,118498,332,312,2453,501,54,7.0,1.119329782732733
176239,182,32449,32454,146,166,1871,398,42,7.0,1.2918859947622392
97223,105,8148,8151,46,47,5614,1117,54,7.0,1.1664980998843535
499696,523,112851,112859,347,367,715,142,17,7.0,0.4416835907527695
128097,133,36690,36698,67,87,1336,265,36,7.0,0.9820359200257924
483512,508,15141,15151,332,352,2446,433,52,7.0,1.119329782732733
274470,296,143276,143282,215,235,3819,754,47,7.0,0.7237432083932548
536062,559,198309,198314,386,387,3786,725,48,7.0,0.4438264341470948
55630,39,163034,163043,10,9,7588,1341,80,7.0,0.8979178206761399
236505,246,51693,51703,207,208,2651,480,51,7.0,1.3972225133438927
333619,371,124733,124739,232,212,3225,743,49,7.0,1.0962254186468878
560471,575,195944,195945,390,389,5780,1058,60,7.0,0.7425888616027709
483107,507,39454,39463,332,313,446,123,23,8.0,1.119329782732733
358746,395,34298,34299,236,216,795,211,29,5.0,0.6119887066641122
549049,572,50095,50099,389,390,7154,1413,89,7.0,0.7425888616027709
138311,143,141859,141864,87,86,3397,685,43,7.0,1.1216278354671452
178618,186,34228,34230,158,178,2010,344,46,7.0,0.5668323279398094
541941,563,170339,170345,387,388,1752,357,43,7.0,0.4438264341470948
3377,2,112327,112336,3,4,5792,1015,65,7.0,0.5708371775563242
12384,5,141763,141765,4,5,2574,462,51,7.0,0.5708371775563242
59550,44,26424,26425,11,10,2237,406,56,7.0,0.6435638621308869
197762,201,110713,110721,186,166,2279,451,46,7.0,1.2843709165327069
515623,534,147826,147836,361,341,1406,257,31,7.0,0.4920301440106474
228495,237,59625,59626,206,207,2772,530,75,7.0,1.3972225133438927
184870,190,136614,136619,166,186,2815,622,54,7.0,1.2843709165327069
379575,416,18573,18580,261,241,2801,699,44,7.0,1.1119894608452026
500311,525,26764,26765,352,332,3450,777,75,7.0,1.119329782732733
1036,2,43373,43379,3,4,5792,1015,65,7.0,0.5708371775563242
103262,106,167040,167049,46,67,570,185,33,8.0,1.1664980998843535
297054,332,20448,20457,223,224,2604,557,36,7.0,0.6191565157353949
264256,279,85476,85481,213,214,1101,196,24,7.0,0.4101470785549331
456362,479,40871,40875,313,312,6124,1172,62,7.0,1.0310349539355537
113622,117,60139,60149,52,53,1727,391,35,7.0,0.6145816993069612
330429,366,169740,169743,231,230,1502,278,37,7.0,1.1411627055128797
325535,359,54595,54604,230,229,3372,705,51,7.0,0.6928147497270761
121195,126,2843,2853,54,53,2150,349,51,7.0,0.6145816993069612
356192,392,83555,83564,235,236,2500,583,40,7.0,0.7237432083932548
297157,332,30660,30666,223,224,2604,557,36,7.0,0.6191565157353949
183818,190,66673,66681,166,186,2815,622,54,7.0,1.2843709165327069
288635,316,115512,115520,218,238,3208,669,39,7.0,0.8816696613244259
336628,375,2644,2648,232,231,1598,285,38,7.0,1.1411627055128797
331285,367,141375,141381,231,232,825,155,24,7.0,1.1411627055128797
314966,348,174610,174620,227,226,2383,516,41,7.0,0.4615167349457846
308459,343,61317,61321,226,227,2314,483,33,6.0,0.4615167349457846
274985,296,195748,195754,215,235,3819,754,47,7.0,0.7237432083932548
155200,164,83623,83631,123,122,775,145,18,7.0,0.4773171113225932
147016,153,199926,199936,107,86,661,159,24,8.0,1.1216278354671452
338366,376,34071,34081,232,233,3684,906,62,6.0,1.1619791581108354
249903,262,89951,89953,209,230,1019,291,39,8.0,1.2040851850136032
327455,359,145864,145870,230,229,3372,705,51,7.0,0.6928147497270761
48632,35,78645,78655,9,11,46,31,19,10.0,0.8979178206761399
132497,138,192216,192225,86,87,3356,735,46,7.0,1.1216278354671452
132106,138,152310,152314,86,87,3356,735,46,7.0,1.1216278354671452
390002,421,122728,122736,272,273,3435,743,41,7.0,0.8389728572309009
406685,439,136455,136457,292,312,3429,611,67,7.0,1.1119155647980608
534203,559,112728,112735,386,387,3786,725,48,7.0,0.4438264341470948
23906,15,168712,168717,6,7,6148,1131,59,7.0,0.5426091782944411
225300,228,196821,196829,205,206,1773,320,37,7.0,1.067174264901552
507791,526,187504,187506,352,353,4882,1113,53,7.0,0.6701754396575299
12947,5,192378,192386,4,5,2574,462,51,7.0,0.5708371775563242
496408,519,178641,178644,346,347,2141,403,20,7.0,0.4416835907527695
150325,157,174325,174331,107,127,1206,252,31,7.0,1.181694780615308
25827,20,11364,11374,7,6,5706,1096,56,7.0,0.5426091782944411
12692,5,175884,175892,4,5,2574,462,51,7.0,0.5708371775563242
471800,494,6447,6454,318,317,2361,405,53,7.0,0.5899983588744228
446928,475,64924,64929,312,313,6951,1469,79,7.0,1.0310349539355537
202689,205,199482,199492,186,207,515,125,26,8.0,1.3972225133438927
292700,323,99192,99202,222,221,980,159,24,7.0,0.9050989791035348
337054,375,74003,74010,232,231,1598,285,38,7.0,1.1411627055128797
67310,52,99448,99455,12,13,4827,970,38,7.0,0.4343780295618495
441223,472,45839,45844,307,326,49,12,4,8.0,0.389921676410541
201499,204,89911,89913,186,206,1269,272,37,7.0,1.2843709165327069
246408,259,162499,162506,209,210,2324,461,60,7.0,1.2040851850136032
258308,276,93792,93796,212,232,4549,902,60,7.0,1.0962254186468878
27175,20,39776,39783,7,6,5706,1096,56,7.0,0.5426091782944411
61058,44,172084,172093,11,10,2237,406,56,7.0,0.6435638621308869
434747,468,50819,50828,306,307,3461,702,28,7.0,0.4805973720292605
157335,165,87288,87298,123,124,3504,645,57,7.0,0.6901232461389545
548314,572,18823,18832,389,390,7154,1413,89,7.0,0.7425888616027709
386940,420,143952,143961,272,252,3139,673,55,7.0,1.1940024538182468
188587,194,176412,176420,167,166,1676,377,36,6.0,1.3357884073864643
199731,203,46665,46670,186,187,1433,392,45,6.0,1.2843709165327069
420259,451,174809,174819,301,300,2318,558,28,7.0,0.752293892421816
253185,268,15845,15850,210,230,1174,278,34,6.0,0.6928147497270761
389758,421,99828,99832,272,273,3435,743,41,7.0,0.8389728572309009
68038,52,129401,129407,12,13,4827,970,38,7.0,0.4343780295618495
460767,479,177445,177454,313,312,6124,1172,62,7.0,1.0310349539355537
315341,348,196347,196352,227,226,2383,516,41,7.0,0.4615167349457846
