cluster,count,density
287,144,0.00072
288,0,0.0
289,0,0.0
290,0,0.0
291,0,0.0
292,828,0.00414
293,2120,0.0106
294,388,0.00194
295,286,0.00143
296,306,0.00153
297,348,0.00174
298,229,0.001145
299,60,0.0003
300,1370,0.00685
301,2204,0.01102
302,290,0.00145
303,254,0.00127
304,238,0.00119
305,335,0.001675
306,1070,0.00535
307,739,0.003695
308,0,0.0
309,0,0.0
310,0,0.0
311,0,0.0
312,619,0.003095
313,1276,0.00638
314,542,0.00271
315,525,0.002625
316,498,0.00249
317,1366,0.00683
318,784,0.00392
319,230,0.00115
320,347,0.001735
321,481,0.002405
322,3,1.5e-05
323,0,0.0
324,0,0.0
325,221,0.001105
326,452,0.00226
327,35,0.000175
328,0,0.0
329,0,0.0
330,0,0.0
331,0,0.0
332,572,0.00286
333,703,0.003515
334,0,0.0
335,0,0.0
336,0,0.0
337,60,0.0003
338,575,0.002875
339,136,0.00068
340,329,0.001645
341,466,0.00233
342,3,1.5e-05
343,0,0.0
344,0,0.0
345,0,0.0
346,198,0.00099
347,123,0.000615
348,0,0.0
349,0,0.0
350,0,0.0
351,0,0.0
352,622,0.00311
353,351,0.001755
354,0,0.0
355,0,0.0
356,0,0.0
357,0,0.0
358,428,0.00214
359,164,0.00082
360,292,0.00146
361,543,0.002715
362,55,0.000275
363,15,7.5e-05
364,31,0.000155
365,23,0.000115
366,178,0.00089
367,188,0.00094
368,101,0.000505
369,74,0.00037
370,99,0.000495
371,81,0.000405
372,647,0.003235
373,388,0.00194
374,0,0.0
375,0,0.0
376,0,0.0
377,0,0.0
378,338,0.00169
379,223,0.001115
380,986,0.00493
381,1532,0.00766
382,1084,0.00542
383,292,0.00146
384,248,0.00124
385,1057,0.005285
386,418,0.00209
387,594,0.00297
388,309,0.001545
389,379,0.001895
390,398,0.00199
391,415,0.002075
392,651,0.003255
393,577,0.002885
394,0,0.0
395,0,0.0
396,0,0.0
397,0,0.0
398,444,0.00222
399,578,0.00289
